%time,field.header.seq,field.header.stamp,field.header.frame_id,field.positioning_dim,field.latitude,field.longitude,field.height,field.latitude_error,field.longitude_error,field.height_error,field.gps_connection_status,field.antena_status_open,field.antena_status_short
1634523447244126345,6988,1634523447244037916,gps_m2/gps,3,35.0371958,137.1680604,49.7919998169,0.562196850777,0.518645465374,1.26293444633,2,1,1
1634523448244283456,6989,1634523448244053824,gps_m2/gps,3,35.0373431,137.1682953,49.6800003052,0.561744272709,0.51827788353,1.26218020916,2,1,1
1634523449247694617,6990,1634523449247326945,gps_m2/gps,3,35.037489,137.1685314,49.5410003662,0.561131238937,0.517747402191,1.26106119156,2,1,1
1634523450244355190,6991,1634523450244125961,gps_m2/gps,3,35.0376332,137.168769,49.4339981079,0.560387372971,0.517132461071,1.25951123238,2,1,1
1634523451244671976,6992,1634523451244183609,gps_m2/gps,3,35.037775,137.1690087,49.3489990234,0.55954760313,0.516410887241,1.25792968273,2,1,1
1634523452244296830,6993,1634523452244139241,gps_m2/gps,3,35.0379143,137.1692501,49.34400177,0.558719992638,0.515680253506,1.25628304482,2,1,1
1634523453247051519,6994,1634523453246937472,gps_m2/gps,3,35.0380513,137.1694932,49.3569984436,0.558008611202,0.515178203583,1.25534808636,2,1,1
1634523454244361175,6995,1634523454244265399,gps_m2/gps,3,35.0381863,137.1697374,49.4259986877,0.557397484779,0.514862537384,1.25493073463,2,1,1
1634523455248610533,6996,1634523455248505736,gps_m2/gps,3,35.0383195,137.1699825,49.5449981689,0.556931376457,0.514431238174,1.25409460068,2,1,1
1634523456245457964,6997,1634523456244983871,gps_m2/gps,3,35.0384506,137.1702287,49.6689987183,0.556696116924,0.514025390148,1.25276219845,2,1,1
1634523457244081554,6998,1634523457243991859,gps_m2/gps,3,35.0385785,137.1704766,49.8950004578,0.556901931763,0.513725876808,1.25113356113,2,1,1
1634523458246731844,6999,1634523458245125152,gps_m2/gps,3,35.0387033,137.1707268,50.1459999084,0.558301925659,0.513165354729,1.2483997345,2,1,1
1634523459245065734,7000,1634523459244982753,gps_m2/gps,3,35.0388254,137.1709787,50.4379997253,0.559836924076,0.514939725399,1.24723684788,2,1,1
1634523460245305817,7001,1634523460245005905,gps_m2/gps,3,35.0389464,137.1712317,50.7540016174,0.561067819595,0.515523254871,1.24713563919,2,1,1
1634523461245393990,7002,1634523461245276457,gps_m2/gps,3,35.0390653,137.1714866,51.2760009766,0.565525233746,0.516428351402,1.24691176414,2,1,1
1634523462244638663,7003,1634523462244535757,gps_m2/gps,3,35.0391823,137.1717426,51.533000946,0.569116413593,0.519005835056,1.25061488152,2,1,1
1634523463251342945,7004,1634523463251045421,gps_m2/gps,3,35.0392964,137.1719992,51.7529983521,0.569576323032,0.521167039871,1.25459098816,2,1,1
1634523464245064378,7005,1634523464244981636,gps_m2/gps,3,35.0394089,137.1722574,52.1570014954,0.569279670715,0.521920263767,1.25604844093,2,1,1
1634523465244285847,7006,1634523465244138652,gps_m2/gps,3,35.0395202,137.1725169,52.6570014954,0.569813966751,0.521759212017,1.25712454319,2,1,1
1634523466244103918,7007,1634523466244014715,gps_m2/gps,3,35.0396291,137.1727781,53.2140007019,0.570800423622,0.521587431431,1.25802731514,2,1,1
1634523467244822719,7008,1634523467244640322,gps_m2/gps,3,35.0397363,137.1730407,53.7410011292,0.571001470089,0.521067380905,1.25756490231,2,1,1
1634523468243603960,7009,1634523468243506182,gps_m2/gps,3,35.0398418,137.1733047,54.263999939,0.570513308048,0.520591914654,1.25687038898,2,1,1
1634523469244501477,7010,1634523469244383291,gps_m2/gps,3,35.0399454,137.17357,54.7879981995,0.570143997669,0.519724905491,1.25449407101,2,1,1
1634523470243620565,7011,1634523470243447921,gps_m2/gps,3,35.0400471,137.1738363,55.3549995422,0.569437086582,0.518469214439,1.25095701218,2,1,1
1634523471243574176,7012,1634523471243432500,gps_m2/gps,3,35.0401465,137.1741041,55.90599823,0.568738281727,0.517307043076,1.24774587154,2,1,1
1634523472245418577,7013,1634523472245332035,gps_m2/gps,3,35.0402436,137.1743737,56.4189987183,0.567895829678,0.516249477863,1.24438416958,2,1,1
1634523473244402810,7014,1634523473244267470,gps_m2/gps,3,35.0403392,137.1746442,56.9179992676,0.566568255424,0.515321195126,1.24135959148,2,1,1
1634523474245565924,7015,1634523474245413069,gps_m2/gps,3,35.0404338,137.1749159,57.3639984131,0.565326631069,0.514498591423,1.23831582069,2,1,1
1634523475244573843,7016,1634523475244449580,gps_m2/gps,3,35.0405272,137.1751886,57.8590011597,0.565235376358,0.514074206352,1.23673462868,2,1,1
1634523476246789150,7017,1634523476245084809,gps_m2/gps,3,35.0406196,137.1754619,58.438999176,0.565348803997,0.517053604126,1.23729419708,2,1,1
1634523477244408862,7018,1634523477244324247,gps_m2/gps,3,35.0407118,137.1757352,58.9889984131,0.565033853054,0.518211305141,1.23412537575,2,1,1
1634523478244604499,7019,1634523478244421136,gps_m2/gps,3,35.0408028,137.1760088,59.5579986572,0.56484079361,0.520425975323,1.23618710041,2,1,1
1634523479244572247,7020,1634523479244432672,gps_m2/gps,3,35.0408928,137.1762838,60.6489982605,0.566157400608,0.52312630415,1.24862766266,2,1,1
1634523480245160392,7021,1634523480245037973,gps_m2/gps,3,35.040983,137.1765586,61.2299995422,0.566905975342,0.525138258934,1.25591099262,2,1,1
1634523481247073155,7022,1634523481246923915,gps_m2/gps,3,35.0410711,137.1768331,61.6930007935,0.56760430336,0.528287172318,1.2661511898,2,1,1
1634523482244452084,7023,1634523482244337565,gps_m2/gps,3,35.0411581,137.1771076,62.1640014648,0.568275392056,0.530223786831,1.26979017258,2,1,1
1634523483244496935,7024,1634523483244391747,gps_m2/gps,3,35.0412444,137.1773821,62.6640014648,0.56915563345,0.530736327171,1.27012014389,2,1,1
1634523484244397257,7025,1634523484244305556,gps_m2/gps,3,35.0413307,137.1776565,63.1090011597,0.569518744946,0.530427396297,1.26934874058,2,1,1
